Document Date,Document Number,Type,Brakes Code,Product / Ingredient,Qty Case,Qty Split,Unit Price,VAT Rate,Net Value,Category,Subcategory,PO,Source,Credit Ref Invoice
2025-08-30,9335231157,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-09-02,9335232189,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-09-02,9335232189,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-09-04,9335233943,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.9,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-09-06,9335235734,INVOICE,118561,Alpro Simply Plain                1x500g,8,,1.65,0.00%,13.2,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-09-16,9335241565,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-10-11,9335259648,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-10-16,9335262653,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-10-23,9335266755,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.65,0.00%,3.3,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-10-25,9335268078,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-11-15,9335281464,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,,Invoice CSV,
2025-11-18,9335282652,INVOICE,118561,Alpro Simply Plain                1x500g,12,,1.65,0.00%,19.8,Alpro yoghurt,Alpro yoghurt,EC25052241,Invoice CSV,
2025-11-20,9335284508,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,RUPERT,Invoice CSV,
2025-11-22,9335286369,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,2,,9.96,0.00%,19.92,Alpro yoghurt,Alpro yoghurt,EC25138597,Invoice CSV,
2025-12-16,9335302176,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC25531725,Invoice CSV,
2025-12-19,9335305368,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,EC25602526,Invoice CSV,
2025-12-20,9335306089,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,EC25620311,Invoice CSV,
2026-01-08,9335312652,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC25629965,Invoice CSV,
2026-01-10,5508972018,CREDIT,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,-9.96,Alpro yoghurt,Alpro yoghurt,,Credit PDF,9335312652
2026-01-29,9335326403,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,EC25944031,Invoice CSV,
2026-01-29,9335326403,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC25944031,Invoice CSV,
2026-02-12,9335336483,INVOICE,118561,Alpro Simply Plain                1x500g,1,,1.65,0.00%,1.65,Alpro yoghurt,Alpro yoghurt,EC26263213,Invoice CSV,
2026-03-07,9335351064,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.65,0.00%,3.3,Alpro yoghurt,Alpro yoghurt,EC26589563,Invoice CSV,
2026-03-07,9335351064,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC26589563,Invoice CSV,
2026-03-12,9335354216,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.65,0.00%,6.6,Alpro yoghurt,Alpro yoghurt,EC26733841,Invoice CSV,
2026-03-26,9335364151,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.65,0.00%,6.6,Alpro yoghurt,Alpro yoghurt,EC26954921,Invoice CSV,
2026-03-26,9335364151,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC26954921,Invoice CSV,
2026-04-14,9335373564,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,EC27274090,Invoice CSV,
2026-04-23,9335380371,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,EC27381722,Invoice CSV,
2026-04-23,9335380371,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC27381722,Invoice CSV,
2026-05-09,9335392154,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,EC27634266,Invoice CSV,
2026-05-09,9335392154,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC27634266,Invoice CSV,
2026-05-23,9335402183,INVOICE,118561,Alpro Simply Plain                1x500g,6,,1.65,0.00%,9.9,Alpro yoghurt,Alpro yoghurt,EC28076920,Invoice CSV,
2026-05-23,9335402183,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC28076920,Invoice CSV,
2026-06-04,9335408810,INVOICE,118561,Alpro Simply Plain                1x500g,2,,1.65,0.00%,3.3,Alpro yoghurt,Alpro yoghurt,EC28332128,Invoice CSV,
2026-06-04,9335408810,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC28332128,Invoice CSV,
2026-06-12,9335414440,INVOICE,118561,Alpro Simply Plain                1x500g,4,,1.65,0.00%,6.6,Alpro yoghurt,Alpro yoghurt,EC28467565,Invoice CSV,
2026-06-30,9335427052,INVOICE,74858,Alpro Soya Alt Yogrt Dry Fre    6x4x125g,1,,9.96,0.00%,9.96,Alpro yoghurt,Alpro yoghurt,EC28899092,Invoice CSV,
2026-07-11,9335435845,INVOICE,118561,Alpro Simply Plain                1x500g,3,,1.65,0.00%,4.95,Alpro yoghurt,Alpro yoghurt,EC29078285,Invoice CSV,
,,,,,,,,,,,,,,
,,,,,,,,NET TOTAL,1006.78,,,,,
